Name,Country,Discipline,Event
ABDELMAGID Wael,Egypt,Football,N/A
ABE Junya,Japan,Volleyball,N/A
ABE Katsuhiko,Japan,Basketball,N/A
ADAMA Cherif,Côte d'Ivoire,Football,N/A
AGEBA Yuya,Japan,Volleyball,N/A
AIKMAN Siegfried Gottlieb,Japan,Hockey,Men
AL SAADI Kais,Germany,Hockey,Men
ALAMEDA Lonni,Canada,Baseball/Softball,Softball
ALEKNO Vladimir,Islamic Republic of Iran,Volleyball,Men
ALEKSEEV Alexey,ROC,Handball,Women
ALLER CARBALLO Manuel Angel,Spain,Basketball,N/A
ALSHEHRI Saad,Saudi Arabia,Football,Men
ALY Kamal,Egypt,Football,N/A
AMAYA GAITAN Fabian,Puerto Rico,Basketball,N/A
AMO AGUADO Pablo,Spain,Football,N/A
ANDONOVSKI Vlatko,United States of America,Football,Women
ANNAN Alyson,Netherlands,Hockey,Women
ARNAU CREUS Xavier,Japan,Hockey,Women
ARNOLD Graham,Australia,Football,Men
AXNER Tomas,Sweden,Handball,Women
BABER Gareth Colin,Fiji,Rugby Sevens,Men
BACIU Horatiu,Romania,Football,N/A
BANBULA Wojciech,Poland,Volleyball,N/A
BAO Zhuang,People's Republic of China,Volleyball,N/A
BARYLA Pawel,ROC,Volleyball,N/A
BASILIO Mel,Canada,Baseball/Softball,Softball
BASSO Paola,Great Britain,Artistic Swimming,Duet
BATCH Colin,Australia,Hockey,Men
BATISTA Fernando,Argentina,Football,Men
BATISTA SANTIAGO Gerardo,Puerto Rico,Basketball,Women
BENCIC Filip,Serbia,Basketball,N/A
BERG Laura,United States of America,Baseball/Softball,Softball
BERGE Christian,Norway,Handball,Men
BILLAVA SURESH Ankitha,India,Hockey,Women
BIRO Attila,Hungary,Water Polo,Women
BLECHER SIDOROVA Svetlana,Israel,Artistic Swimming,Duet
BLENGINI Gianlorenzo,Italy,Volleyball,Men
BOLTON Alice,Nigeria,Basketball,N/A
BREIVIK Marit,Norway,Handball,N/A
BRODERICK William,Brazil,Rugby Sevens,Women
BRONDELLO Sandy,Australia,Basketball,Women
BROWN Chris,United States of America,Rugby Sevens,Women
BROWN Michael,Nigeria,Basketball,Men
BRUN Aristide,Austria,Artistic Swimming,N/A
BUNTING Allan,New Zealand,Rugby Sevens,Women
BURLANDO Giovanna,Italy,Artistic Swimming,N/A
BUSATO Sergio,ROC,Volleyball,Women
BUSENKELL Axel,Germany,Football,N/A
BYRNE Mick,Canada,Rugby Sevens,Women
CADENAS MONTANES Manuel,Argentina,Handball,Men
CALDAS Max,Netherlands,Hockey,Men
CAMPAGNA Alessandro,Italy,Water Polo,Men
CARO Carlos,Mexico,Baseball/Softball,Softball
CASAREZ Mary Lucy,Japan,Baseball/Softball,Softball
CASTRO Alex,Chile,Football,N/A
CHAMBERS Cheryl,Australia,Basketball,N/A
CHEPAK Anastasiya,Egypt,Artistic Swimming,Duet
CHEPAK Anastasiya,Egypt,Artistic Swimming,Team
CHERNETSKA Natalia,Greece,Artistic Swimming,Duet
CHERNETSKA Natalia,Greece,Artistic Swimming,Team
CHIARI Simona,San Marino,Artistic Swimming,N/A
CHOI Il Eon,Republic of Korea,Baseball/Softball,Baseball
CHUN Jooweon,Republic of Korea,Basketball,Women
CLARK STEPHEN Gregg,India,Hockey,Men
COLLET Vincent,France,Basketball,Men
COMMENS Adam,Belgium,Hockey,N/A
COURTEIX David,France,Rugby Sevens,Women
CRESPI JAUME Margalida,Colombia,Artistic Swimming,N/A
CRUZ Filipe,Angola,Handball,Women
DAL ZOTTO Renan,Brazil,Volleyball,Men
DANCER Sean,Ireland,Hockey,Women
DANCHENKO Tatiana,ROC,Artistic Swimming,Duet
DAVY Jeremy,Australia,Hockey,Women
DAZA Fabian,Chile,Football,N/A
de la FUENTE CASTILLO Luis,Spain,Football,Men
de MOURA Luizomar,Kenya,Volleyball,Women
de OLIVEIRA Marcus Ricardo,Brazil,Handball,Men
de VOS Robbert-Jan,Netherlands,Hockey,N/A
DELANEY Mike,New Zealand,Hockey,N/A
DEMCHENKO Zhanna,Kazakhstan,Artistic Swimming,Duet
DIAZ FERNANDEZ Jenaro Manuel,Spain,Basketball,N/A
DIAZ HENRIQUEZ Nestor,Dominican Republic,Basketball,N/A
DIDENKO Natalia,Spain,Artistic Swimming,N/A
DOBSON Howard,United States of America,Baseball/Softball,Softball
DORE Karine,Canada,Artistic Swimming,N/A
DROBNJAK Dragisa,Slovenia,Basketball,N/A
DUENAS de GALARZA Jorge,Brazil,Handball,Women
DURO Fernando,Venezuela,Basketball,N/A
DYKSTRA Trisha,Australia,Basketball,N/A
ECHEZURIA Manuel,Venezuela,Basketball,N/A
EDDY Anthony,Ireland,Rugby Sevens,Men
EITOKU Atsushi,Japan,Artistic Swimming,N/A
ELAFANDI Nour,Egypt,Artistic Swimming,Duet
